-0.5	0
-0.4	0.196
-0.3	0.2713
-0.2	0.325
-0.1	0.3666
0	0.4
0.1	0.4271
0.2	0.449
0.3	0.4665
0.4	0.48
0.5	0.4899
0.6	0.4964
0.7	0.4996
0.8	0.4996
0.9	0.4964
1	0.4899
1.1	0.48
1.2	0.4665
1.3	0.449
1.4	0.4271
1.5	0.4
1.6	0.3666
1.7	0.325
1.8	0.2713
1.9	0.196
2	0
1.9	-0.196
1.8	-0.2713
1.7	-0.325
1.6	-0.3666
1.5	-0.4
1.4	-0.4271
1.3	-0.449
1.2	-0.4665
1.1	-0.48
1	-0.4899
0.9	-0.4964
0.8	-0.4996
0.7	-0.4996
0.6	-0.4964
0.5	-0.4899
0.4	-0.48
0.3	-0.4665
0.2	-0.449
0.1	-0.4271
0	-0.4
-0.1	-0.3666
-0.2	-0.325
-0.3	-0.2713
-0.4	-0.196
-0.5	0
