1.2598	-0.175
1.2659	-0.1785
1.2719	-0.182
1.278	-0.1855
1.2841	-0.189
1.2901	-0.1925
1.2962	-0.196
1.3022	-0.1995
1.3083	-0.203
1.3144	-0.2065
1.3204	-0.21
1.3265	-0.2135
1.3326	-0.217
1.3386	-0.2205
1.3447	-0.224
1.3507	-0.2275
1.3568	-0.231
1.3629	-0.2345
1.3689	-0.238
1.375	-0.2415
1.3811	-0.245
1.3871	-0.2485
1.3932	-0.252
1.3992	-0.2555
1.4053	-0.259
1.4114	-0.2625
1.4174	-0.266
1.4235	-0.2695
1.4295	-0.273
1.4356	-0.2765
1.4417	-0.28
1.4477	-0.2835
1.4538	-0.287
1.4599	-0.2905
1.4659	-0.294
1.472	-0.2975
1.478	-0.301
1.4841	-0.3045
1.4902	-0.308
1.4962	-0.3115
1.5023	-0.315
1.5084	-0.3185
1.5144	-0.322
1.5205	-0.3255
1.5265	-0.329
1.5326	-0.3325
1.5387	-0.336
1.5447	-0.3395
1.5508	-0.343
1.5569	-0.3465
1.5629	-0.35
