1.2598	-0.175
1.2482	-0.1651
1.2363	-0.1556
1.2125	-0.137
1.1884	-0.1187
1.1641	-0.1008
1.1395	-0.0833
1.1146	-0.0664
1.0893	-0.0504
1.0764	-0.0428
1.0632	-0.0355
1.0498	-0.0288
1.0357	-0.0232
1.0282	-0.0212
1.0204	-0.0197
1.0119	-0.0194
1.0073	-0.0199
1	-0.025
1.0014	-0.0301
1.0039	-0.0332
1.0096	-0.0384
1.0156	-0.043
1.0216	-0.0476
1.0337	-0.0566
1.046	-0.0653
1.0585	-0.0736
1.0713	-0.0816
1.0973	-0.0965
1.1236	-0.1108
1.1504	-0.1245
1.1774	-0.1378
1.2046	-0.1506
1.232	-0.1632
1.2458	-0.1693
1.2598	-0.175
